timestamp,plate,status
2026-04-25 12:50:19,UP78HE3137,VIP
2026-04-25 12:50:30,UP78FP7627,UNKNOWN
2026-04-25 12:50:57,OD78HY6050,VIP
2026-04-25 12:51:12,UP78H95531,Resident
2026-04-25 12:52:01,UP08EC9470,BLACKLIST (Suspicious)
2026-04-25 12:52:14,UP78CZ4000,VIP
2026-04-25 12:53:02,OD78UV3337,Staff
2026-04-25 12:53:34,UP06CR1765,UNKNOWN
2026-04-25 12:54:30,UP79I97512,Staff
2026-04-25 12:54:35,OD25263649,BLACKLIST (Stolen)
2026-04-25 12:54:49,UP78ES9080,VIP
2026-04-25 12:54:53,UP08Q72577,Resident
2026-04-25 12:55:21,UP07BQ8099,Staff
2026-04-25 12:55:23,UP7AHZ8845,BLACKLIST (Unauthorized)
2026-04-25 13:09:00,UP78HE3137,VIP
2026-04-25 13:12:04,UP78HE3137,VIP
2026-04-25 13:20:46,UP78HE3137,VIP
2026-04-25 13:26:31,UP78FP7627,UNKNOWN
2026-04-25 13:26:54,OD78HY6050,VIP
2026-04-25 13:27:07,UP78H95531,Resident
2026-04-26 19:51:23,UP78HE3137,VIP
2026-04-26 19:52:01,UP78FP7627,UNKNOWN
2026-04-28 11:11:04,UP78HE3137,VIP
2026-04-28 11:11:14,UP78FP7627,UNKNOWN
2026-04-28 11:11:28,OD78HY6050,VIP
2026-04-28 11:11:34,UP78H95531,Resident
2026-04-28 11:35:01,UP78HE3137,VIP
2026-05-02 18:59:49,UP78HE3137,VIP
2026-05-02 19:00:00,UP78FP7627,UNKNOWN
2026-05-02 19:00:22,OD78HY6050,VIP
2026-05-05 15:25:55,UP78HE3137,VIP
2026-05-05 15:26:06,UP78FP7627,UNKNOWN
2026-05-05 15:26:28,OD78HY6050,VIP
2026-05-05 15:26:41,UP78H95531,Resident
2026-05-05 15:40:14,UP08EC9470,BLACKLIST (Suspicious)
2026-05-05 15:40:54,UP78CZ4000,UNKNOWN
2026-05-05 15:43:40,UP78HE3137,VIP
2026-05-05 15:43:53,UP78FP7627,UNKNOWN
2026-05-05 15:44:05,OD78HY6050,VIP
